국회의원코드,의원이름(한자),의원이름(한글),경력대수,경력대수코드,의원이력,활동기간
C1J76609,姜己文,강기문,제헌,100001,제헌 무소속 경남 산청,1948.05.31 ~ 1950.05.30
41F70646,姜達秀,강달수,제헌,100001,제헌 부산15구락부 경남 하동,1948.05.31 ~ 1950.05.30
KAM9491G,姜善明,강선명,제헌,100001,제헌 무소속 전남 목포,1949.01.13 ~ 1950.05.30
RJD64678,姜旭中,강욱중,제헌,100001,제헌 조선민족청년단 경남 함안,1948.05.31 ~ 1950.02.10
7GP9235Q,郭尙勳,곽상훈,제헌,100001,제헌 무소속 경기 인천갑,1948.05.31 ~ 1950.05.30
10V43435,具中會,구중회,제헌,100001,제헌 무소속 경남 창녕,1948.05.31 ~ 1950.05.30
KB12672B,權炳魯,권병노,제헌,100001,제헌 대한독립촉성국민회 경북 의성을,1948.05.31 ~ 1950.05.30
TQQ62610,權泰郁,권태욱,제헌,100001,제헌 무소속 경남 마산,1948.05.31 ~ 1950.05.30
CW38252I,權泰羲,권태희,제헌,100001,제헌 무소속 경북 김천갑,1948.05.31 ~ 1950.05.30
G7Z2566A,金景道,김경도,제헌,100001,제헌 대한독립촉성국민회 경남 함양,1948.05.31 ~ 1950.05.30
KIL1823P,金庚培,김경배,제헌,100001,제헌 무소속 황해도 연백갑,1948.05.31 ~ 1950.05.30
8M43642N,金光俊,김광준,제헌,100001,제헌 무소속 경북 울진,1948.05.31 ~ 1950.05.30
4886853P,金敎中,김교중,제헌,100001,제헌 대동청년당 전북 무주,1949.01.13 ~ 1950.05.30
3287929R,金敎賢,김교현,제헌,100001,제헌 무소속 충북 보은,1948.05.31 ~ 1950.05.30
T5W7400K,金基喆,김기철,제헌,100001,제헌 대동청년당 충북 충주,1948.05.31 ~ 1950.05.30
PY281290,金德烈,김덕열,제헌,100001,제헌 무소속 경기 양주갑,1948.05.31 ~ 1950.05.30
02E7012K,金度演,김도연,제헌,100001,제헌 한국민주당 서울 서대문구,1948.05.31 ~ 1950.05.30
CIY4372L,金東元,김동원,제헌,100001,제헌 한국민주당 서울 용산구,1948.05.31 ~ 1950.05.30
KJX86715,金東準,김동준,제헌,100001,제헌 무소속 충남 서산을,1948.05.31 ~ 1950.05.30
NX51740P,金明東,김명동,제헌,100001,제헌 무소속 충남 공주갑,1948.05.31 ~ 1950.05.30
OE47479L,金汶枰,김문평,제헌,100001,제헌 대한독립촉성국민회 전남 여수갑,1948.05.31 ~ 1950.05.30
1II4388O,金秉會,김병회,제헌,100001,제헌 무소속 전남 진도,1948.05.31 ~ 1950.02.10
09N5003T,金奉斗,김봉두,제헌,100001,제헌 무소속 전북 장수,1948.05.31 ~ 1950.05.30
Z988261X,金鳳祚,김봉조,제헌,100001,제헌 교육협회 경북 청송,1948.05.31 ~ 1950.05.30
IAQ9588L,金尙德,김상덕,제헌,100001,제헌 민족통일본부 경북 고령,1948.05.31 ~ 1950.05.30
B5N4494M,金相敦,김상돈,제헌,100001,제헌 무소속 서울 마포구,1948.05.31 ~ 1950.05.30
RUC3702N,金相舜,김상순,제헌,100001,제헌 한국민주당 전남 장성,1948.05.31 ~ 1950.05.30
90A5013G,金尙浩,김상호,제헌,100001,제헌 한국민주당 전남 나주을,1948.05.31 ~ 1950.05.30
GV84780I,金壽善,김수선,제헌,100001,제헌 무소속 경남 울산을,1948.05.31 ~ 1950.05.30
4RH83902,金若水,김약수,제헌,100001,제헌 조선공화당 경남 동래,1948.05.31 ~ 1950.02.10
RVV6209L,金英基,김영기,제헌,100001,제헌 대한독립촉성국민회 경기 안성,1948.05.31 ~ 1950.05.30
NKE36520,金永東,김영동,제헌,100001,제헌 무소속 전북 고창갑,1948.05.31 ~ 1950.05.30
VM08397T,金沃周,김옥주,제헌,100001,제헌 무소속 전남 광양,1948.05.31 ~ 1950.02.10
IKI92758,金用在,김용재,제헌,100001,제헌 대한독립촉성국민회 충남 당진,1948.05.31 ~ 1950.05.30
O3Q35065,金用鉉,김용현,제헌,100001,제헌 한국민주당 전남 무안갑,1948.05.31 ~ 1950.05.30
V691403J,金鏞化,김용화,제헌,100001,제헌 무소속 충남 천안,1949.06.10 ~ 1949.06.23
XEK2350H,金禹植,김우식,제헌,100001,제헌 전도회 경북 달성,1948.05.31 ~ 1950.05.30
D831681G,金雄權,김웅권,제헌,100001,제헌 무소속 경기 파주,1948.05.31 ~ 1950.05.30
4MX48617,金雄鎭,김웅진,제헌,100001,제헌 무소속 경기 수원을,1948.05.31 ~ 1950.05.30
Q0G1675P,金翼基,김익기,제헌,100001,제헌 대한독립촉성국민회 경북 안동갑,1948.05.31 ~ 1950.05.30
ALP55797,金益魯,김익노,제헌,100001,제헌 무소속 경북 영일을,1948.05.31 ~ 1950.05.30
SNQ8811F,金仁湜,김인식,제헌,100001,제헌 대동청년당 경기 옹진을,1948.05.31 ~ 1950.05.30
4244350V,金長烈,김장열,제헌,100001,제헌 무소속 전남 완도,1948.05.31 ~ 1950.05.30
X898412T,金載學,김재학,제헌,100001,제헌 한국민주당 경남 통영갑,1948.05.31 ~ 1950.05.30
MBS7653Q,金鍾文,김종문,제헌,100001,제헌 한국민주당 전북 정읍을,1948.05.31 ~ 1950.05.30
A2O2132V,金鍾善,김종선,제헌,100001,제헌 한국민주당 전남 구례,1948.05.31 ~ 1950.05.30
B7963485,金俊淵,김준연,제헌,100001,제헌 한국민주당 전남 영암,1948.05.31 ~ 1950.05.30
1038937L,金仲基,김중기,제헌,100001,제헌 무소속 전남 장흥,1948.05.31 ~ 1950.05.30
IPD2759Q,金振九,김진구,제헌,100001,제헌 대한독립촉성국민회 강원 삼척,1948.05.31 ~ 1950.05.30
QW04133V,金喆,김철,제헌,100001,제헌 대한독립촉성국민회 경북 경주갑,1948.05.31 ~ 1950.05.30
94P92684,金철洙,김철수,제헌,100001,제헌 대한독립촉성국민회 충남 부여을 ,1948.05.31 ~ 1950.05.30
8OJ3727G,金泰洙,김태수,제헌,100001,제헌 대한독립촉성국민회 경남 창원갑,1948.05.31 ~ 1950.05.30
27P1869Q,金孝錫,김효석,제헌,100001,제헌 대한독립촉성국민회 경남 합천을,1948.05.31 ~ 1949.01.05
1C747415,羅容均,나용균,제헌,100001,제헌 한국민주당 전북 정읍갑,1948.05.31 ~ 1950.05.30
8UK6500D,南宮炫,남궁현,제헌,100001,제헌 대한독립촉성국민회 충남 부여갑,1948.05.31 ~ 1950.05.30
K5R42761,盧鎰煥,노일환,제헌,100001,제헌 한국민주당 전북 순창,1948.05.31 ~ 1950.02.10
ZQS5105N,文時煥,문시환,제헌,100001,제헌 조선민족청년단 경남 부산갑,1948.05.31 ~ 1948.10.19
XG989909,閔庚植,민경식,제헌,100001,제헌 대한독립촉성국민회 경기 용인,1948.05.31 ~ 1950.05.30
UC77337T,朴己云,박기운,제헌,100001,제헌 무소속 충북 청주,1948.05.31 ~ 1950.05.30
LLN4144A,朴湘永,박상영,제헌,100001,제헌 한국민주당 경북 예천,1948.05.31 ~ 1950.05.30
4J092952,朴順碩,박순석,제헌,100001,제헌 무소속 경북 영일갑,1948.05.31 ~ 1950.05.30
FB325823,朴愚京,박우경,제헌,100001,제헌 무소속 충북 영동,1948.05.31 ~ 1950.05.30
F5J8557E,朴允源,박윤원,제헌,100001,제헌 무소속 경남 남해,1948.05.31 ~ 1950.02.10
UEL8051S,朴鍾南,박종남,제헌,100001,제헌 무소속 전남 광산,1948.05.31 ~ 1950.05.30
IXD6351Y,朴鍾煥,박종환,제헌,100001,제헌 대한독립촉성국민회 경북 청도,1948.05.31 ~ 1950.05.30
P818288Z,朴峻,박준,제헌,100001,제헌 무소속 경북 군위,1948.05.31 ~ 1950.05.30
WNK5943X,朴瓚鉉,박찬현,제헌,100001,제헌 무소속 경남 부산정,1948.05.31 ~ 1950.05.30
MTR5392Y,朴海克,박해극,제헌,100001,제헌 무소속 경남 밀양을,1948.05.31 ~ 1950.05.30
0KQ3355X,朴海楨,박해정,제헌,100001,제헌 무소속 경북 경산,1948.05.31 ~ 1950.05.30
TPN6918O,裵重赫,배중혁,제헌,100001,제헌 대동청년당 경북 봉화,1948.05.31 ~ 1950.02.10
3GB9329B,裵憲,배헌,제헌,100001,제헌 무소속 전북 이리,1948.05.31 ~ 1950.05.30
PW120859,白寬洙,백관수,제헌,100001,제헌 한국민주당 전북 고창을,1948.05.31 ~ 1950.05.30
68D7710B,白南埰,백남채,제헌,100001,제헌 한국민주당 경북 대구병,1948.05.31 ~ 1950.05.30
Y8655773,白亨南,백형남,제헌,100001,제헌 대동청년당 전북 익산갑,1948.05.31 ~ 1950.05.30
X4G3550I,徐相日,서상일,제헌,100001,제헌 한국민주당 경북 대구을,1948.05.31 ~ 1950.05.30
RDA3916Z,徐成達,서성달,제헌,100001,제헌 대한독립촉성국민회 경기 고양갑,1948.05.31 ~ 1950.05.30
SGS8180L,徐淳永,서순영,제헌,100001,제헌 무소속 경남 통영을,1948.05.31 ~ 1950.05.30
L4F6267A,徐容吉,서용길,제헌,100001,제헌 무소속 충남 아산,1948.05.31 ~ 1950.05.30
D0A1777A,徐禹錫,서우석,제헌,100001,제헌 한국민주당 전남 곡성,1948.05.31 ~ 1950.05.30
W8O5974N,徐二煥,서이환,제헌,100001,제헌 무소속 경북 울릉,1948.05.31 ~ 1950.05.30
61W2795L,徐廷禧,서정희,제헌,100001,제헌 한국민주당 경기 포천,1948.05.31 ~ 1950.05.30
J5W7663N,成樂緖,성낙서,제헌,100001,제헌 대한독립촉성국민회 충남 대전,1948.05.31 ~ 1950.05.30
CIO9510I,孫在學,손재학,제헌,100001,제헌 대한독립촉성국민회 충남 홍성,1948.05.31 ~ 1950.05.30
IC95386J,宋鳳海,송봉해,제헌,100001,제헌 대한독립촉성국민회 전남 해남갑,1948.05.31 ~ 1950.05.30
JT34368K,宋鎭百,송진백,제헌,100001,제헌 대한독립촉성국민회 충남 대덕,1948.05.31 ~ 1950.05.30
M6B2431M,宋昌植,송창식,제헌,100001,제헌 대한독립촉성국민회 경기 이천,1948.05.31 ~ 1950.05.30
M457535F,宋必滿,송필만,제헌,100001,제헌 한국민주당 충북 진천,1948.05.31 ~ 1950.05.30
MT48752N,申光均,신광균,제헌,100001,제헌 대한독립촉성국민회 경기 개풍,1948.05.31 ~ 1950.05.30
OCQ1735D,申邦鉉,신방현,제헌,100001,제헌 무소속 충남 공주을,1948.05.31 ~ 1950.05.30
MOI3885T,辛相學,신상학,제헌,100001,제헌 무소속 경남 김해갑,1948.05.31 ~ 1950.05.30
DUB2847E,申性均,신성균,제헌,100001,제헌 무소속 전북 전주,1948.05.31 ~ 1950.05.30
EWG10700,申翼熙,신익희,제헌,100001,제헌 대한독립촉성국민회 전남 광주,1948.05.31 ~ 1950.05.30
FRL5031A,申鉉燉,신현돈,제헌,100001,제헌 대한독립촉성국민회 전북 무주,1948.05.31 ~ 1948.10.19
8F74681A,申鉉模,신현모,제헌,100001,제헌 한국민주당 황해도 연백을,1948.05.31 ~ 1950.05.30
RQT2434U,安駿相,안준상,제헌,100001,제헌 조선민족청년단 경남 의령,1948.05.31 ~ 1950.05.30
CHU7723J,梁秉直,양병직,제헌,100001,제헌 대동청년당 제주 북제주을,1949.05.10 ~ 1950.05.30
WBD1789R,延秉昊,연병호,제헌,100001,제헌 무소속 충북 괴산,1948.05.31 ~ 1950.05.30
L6C9595I,吳基烈,오기열,제헌,100001,제헌 무소속 전북 진안,1948.05.31 ~ 1950.05.30
IM97349U,吳錫柱,오석주,제헌,100001,제헌 대한독립촉성국민회 전남 고흥갑,1948.05.31 ~ 1950.05.30
B841723D,吳龍國,오용국,제헌,100001,제헌 무소속 제주 남제주,1948.05.31 ~ 1950.05.30
5JZ33241,吳澤寬,오택관,제헌,100001,제헌 한국독립당 경기 옹진갑,1948.05.31 ~ 1950.05.30
K374753S,吳宅烈,오택열,제헌,100001,제헌 대한독립촉성국민회 경북 영덕,1948.05.31 ~ 1950.05.30
QPC91602,元容均,원용균,제헌,100001,제헌 대한독립촉성국민회 강원 횡성,1948.05.31 ~ 1950.05.30
J2M9791M,元容漢,원용한,제헌,100001,제헌 대동청년당 경기 여주,1948.05.31 ~ 1950.05.30
7Q415979,元長吉,원장길,제헌,100001,제헌 대동청년당 강원 강릉갑,1948.05.31 ~ 1950.05.30
SG236255,柳來琬,유래완,제헌,100001,제헌 무소속 경기 양평,1948.05.31 ~ 1950.05.30
7KU80352,柳聖甲,유성갑,제헌,100001,제헌 단민당 전남 고흥을,1948.05.31 ~ 1950.05.30
L9J2509Z,柳俊相,유준상,제헌,100001,제헌 대한독립촉성국민회 전북 완주갑,1948.05.31 ~ 1950.05.30
5WD24093,兪鎭洪,유진홍,제헌,100001,제헌 대한독립촉성국민회 충남 논산갑,1948.05.31 ~ 1950.05.30
D1X9690Y,柳鴻烈,유홍열,제헌,100001,제헌 무소속 충북 제천,1948.05.31 ~ 1950.05.30
MQQ9037E,陸洪均,육홍균,제헌,100001,제헌 대한독립촉성국민회 경북 선산,1948.05.31 ~ 1950.05.30
N618979E,尹炳求,윤병구,제헌,100001,제헌 무소속 충남 예산,1948.05.31 ~ 1950.05.30
EW13604F,尹錫龜,윤석구,제헌,100001,제헌 무소속 전북 군산,1948.05.31 ~ 1950.05.30
5PO5280B,尹在根,윤재근,제헌,100001,제헌 무소속 경기 강화,1948.05.31 ~ 1950.05.30
K5961516,尹在旭,윤재욱,제헌,100001,제헌 대동청년당 서울 영등포구,1948.05.31 ~ 1950.05.30
41C1267K,尹致暎,윤치영,제헌,100001,제헌 한국민주당 서울 중구,1948.05.31 ~ 1950.05.30
MJL1287O,李康雨,이강우,제헌,100001,제헌 무소속 경남 진주,1948.05.31 ~ 1950.05.30
LU08466W,二龜洙,이귀수,제헌,100001,제헌 무소속 경남 고성,1948.05.31 ~ 1950.02.10
L1K2418O,李南圭,이남규,제헌,100001,제헌 대한독립촉성국민회 전남 목포,1948.05.31 ~ 1948.10.19
P3E4403V,李萬根,이만근,제헌,100001,제헌 무소속 충북 청원을,1948.05.31 ~ 1950.05.30
BRK2070T,李文源,이문원,제헌,100001,제헌 무소속 전북 익산을,1948.05.31 ~ 1950.02.10
UIO8021S,李範敎,이범교,제헌,100001,제헌 대한독립촉성국민회 경북 영천을,1948.05.31 ~ 1950.05.30
N848193Y,李炳瓘,이병관,제헌,100001,제헌 무소속 경북 김천을,1948.05.31 ~ 1950.05.30
T2D85501,李炳國,이병국,제헌,100001,제헌 대한독립촉성국민회 충남 천안,1948.05.31 ~ 1949.04.08
ZNS6961Q,李相敦,이상돈,제헌,100001,제헌 민주국민당 충남 천안,1949.07.23 ~ 1950.05.30
6683015R,李錫,이석,제헌,100001,제헌 대한독립촉성국민회 경북 경주을,1948.05.31 ~ 1950.05.30
6511987K,李錫柱,이석주,제헌,100001,제헌 대한독립촉성농민총연맹 전북 완주을,1948.05.31 ~ 1950.05.30
81X3635Z,李聖得,이성득,제헌,100001,제헌 무소속 경기 개성,1948.05.31 ~ 1950.05.30
OLX9518I,李成佑,이성우,제헌,100001,제헌 무소속 전남 함평,1948.05.31 ~ 1950.05.30
45W41878,李聖學,이성학,제헌,100001,제헌 대동청년당 전남 해남을,1948.05.31 ~ 1950.05.30
T8575367,李承晩,이승만,제헌,100001,제헌 대한독립촉성국민회 서울 동대문구갑,1948.05.31 ~ 1948.07.24
S326239W,李榮俊,이영준,제헌,100001,제헌 한국민주당 서울 동대문구을,1948.05.31 ~ 1950.05.30
O673574F,李要漢,이요한,제헌,100001,제헌 대한독립촉성국민회 전북 옥구,1948.05.31 ~ 1950.05.30
6O61738R,李原弘,이원홍,제헌,100001,제헌 대한독립촉성국민회 경남 합천갑,1948.05.31 ~ 1950.05.30
X7R17247,李裕善,이유선,제헌,100001,제헌 대한독립촉성국민회 경기 부천,1948.05.31 ~ 1950.05.30
DQ470249,李允榮,이윤영,제헌,100001,제헌 조선민주당 서울 종로구갑,1948.05.31 ~ 1950.05.30
BRN6185C,李宜相,이의상,제헌,100001,제헌 대한독립촉성국민회 충북 음성,1948.05.31 ~ 1950.05.30
M0587960,李仁,이인,제헌,100001,제헌 무소속 서울 종로구을,1949.03.30 ~ 1950.05.30
VLY2436D,李在鶴,이재학,제헌,100001,제헌 무소속 강원 홍천,1948.05.31 ~ 1950.05.30
QCI6988T,李載灐,이재형,제헌,100001,제헌 무소속 경기 시흥,1948.05.31 ~ 1950.05.30
OZ45622W,李정器,이정기,제헌,100001,제헌 조선민족청년단 전북 남원,1948.05.31 ~ 1950.05.30
1C853454,李晶來,이정래,제헌,100001,제헌 한국민주당 전남 보성,1948.05.31 ~ 1950.05.30
LHY4158Z,李鍾根,이종근,제헌,100001,제헌 대한독립촉성국민회 충남 청양,1948.05.31 ~ 1950.05.30
T4Z35182,李鍾麟,이종린,제헌,100001,제헌 무소속 충남 서산갑,1948.05.31 ~ 1950.05.30
59M1715Y,李鍾淳,이종순,제헌,100001,제헌 대한독립촉성국민회 강원 춘성,1948.05.31 ~ 1950.05.30
BVQ11586,李周衡,이주형,제헌,100001,제헌 대한독립촉성국민회 경남 밀양갑,1948.05.31 ~ 1950.05.30
AOJ3881P,李鎭洙,이진수,제헌,100001,제헌 무소속 경기 양주을,1948.05.31 ~ 1950.05.30
9MB20141,李恒發,이항발,제헌,100001,제헌 무소속 전남 나주갑,1948.05.31 ~ 1950.05.30
KHG2024B,李浩錫,이호석,제헌,100001,제헌 무소속 경북 성주,1948.05.31 ~ 1950.05.30
ORK7895K,李勳求,이훈구,제헌,100001,제헌 무소속 충남 서천,1948.05.31 ~ 1950.05.30
L263650M,林奭奎,임석규,제헌,100001,제헌 대동청년당 충남 보령,1948.05.31 ~ 1950.05.30
OU64454T,任永信,임영신,제헌,100001,제헌 대한여자국민당 경북 안동을,1949.01.13 ~ 1950.05.30
61E9214A,張基永,장기영,제헌,100001,제헌 무소속 강원 영월,1948.05.31 ~ 1950.05.30
TFG44176,張勉,장면,제헌,100001,제헌 무소속 서울 종로구을,1948.05.31 ~ 1948.12.22
Y7G8605F,張炳晩,장병만,제헌,100001,제헌 대한독립촉성국민회 경북 칠곡,1948.05.31 ~ 1950.05.30
VA38370E,長洪琰,장홍염,제헌,100001,제헌 한국민주당 전남 무안을,1948.05.31 ~ 1950.05.30
WGG9113S,錢鎭漢,전진한,제헌,100001,제헌 대한노동총연맹 경북 상주을,1948.05.31 ~ 1950.05.30
9W07513N,鄭光好,정광호,제헌,100001,제헌 한국민주당 전남 광주,1948.05.31 ~ 1950.05.30
Z8W9187M,鄭求參,정구삼,제헌,100001,제헌 대한독립촉성국민회 충북 옥천,1948.05.31 ~ 1950.05.30
ZLF2879Y,鄭均植,정균식,제헌,100001,제헌 조선민족청년단 전남 담양,1948.05.31 ~ 1950.05.30
UPE7464B,鄭島榮,정도영,제헌,100001,제헌 대한독립촉성국민회 경북 영천갑,1948.05.31 ~ 1950.05.30
T2K6551X,丁又一,정우일,제헌,100001,제헌 무소속 경북 의성갑,1948.05.31 ~ 1950.05.30
9G19731F,鄭濬,정준,제헌,100001,제헌 무소속 경기 김포,1948.05.31 ~ 1950.05.30
W5A50056,鄭鎭瑾,정진근,제헌,100001,제헌 무소속 경남 양산,1948.05.31 ~ 1950.05.30
PFD3040H,鄭海駿,정해준,제헌,100001,제헌 대한독립촉성국민회 충남 금산,1948.05.31 ~ 1950.05.30
MMU4834V,鄭顯模,정현모,제헌,100001,제헌 무소속 경북 안동을,1948.05.31 ~ 1948.10.19
PW72101R,曺國鉉,조국현,제헌,100001,제헌  전남 화순,1948.05.31 ~ 1950.05.30
8HP11298,曺奎甲,조규갑,제헌,100001,제헌 무소속 경남 김해을,1948.05.31 ~ 1950.05.30
BR62675S,趙炳漢,조병한,제헌,100001,제헌 무소속 경북 문경,1948.05.31 ~ 1950.05.30
SE215159,曺奉岩,조봉암,제헌,100001,제헌 무소속 경기 인천을,1948.05.31 ~ 1950.05.30
OI72712W,曺泳珪,조영규,제헌,100001,제헌 한국민주당 전남 영광,1948.05.31 ~ 1950.05.30
KXV7183C,趙玉鉉,조옥현,제헌,100001,제헌 대한독립촉성국민회 전남 순천을,1948.05.31 ~ 1950.05.30
68O6944E,趙在勉,조재면,제헌,100001,제헌 대한독립촉성국민회 전북 부안,1948.05.31 ~ 1950.05.30
A0J46751,趙鍾勝,조종승,제헌,100001,제헌 무소속 충북 단양,1948.05.31 ~ 1950.05.30
7T511853,趙重顯,조중현,제헌,100001,제헌 무소속 경기 장단,1948.05.31 ~ 1950.05.30
3I17114K,趙漢栢,조한백,제헌,100001,제헌 무소속 전북 김제갑,1948.05.31 ~ 1950.05.30
Y6N86498,趙憲泳,조헌영,제헌,100001,제헌 한국민주당 경북 영양,1948.05.31 ~ 1950.05.30
6YS2035R,朱基鎔,주기용,제헌,100001,제헌 무소속 경남 창원을,1948.05.31 ~ 1950.05.30
06B3741H,池靑天,지청천,제헌,100001,제헌 대동청년당 서울 성동구,1948.05.31 ~ 1950.05.30
RUW9318Z,晋直鉉,진직현,제헌,100001,제헌 대한독립촉성국민회 전북 임실,1948.05.31 ~ 1950.05.30
VA69591N,陳憲植,진헌식,제헌,100001,제헌 대한독립촉성국민회 충남 연기,1948.05.31 ~ 1950.05.30
MMB6113P,車庚模,차경모,제헌,100001,제헌 무소속 전남 강진,1948.05.31 ~ 1950.05.30
WVK51145,崔國鉉,최국현,제헌,100001,제헌 무소속 경기 고양을,1948.05.31 ~ 1950.05.30
SCR9592A,崔圭鈺,최규옥,제헌,100001,제헌 대한독립촉성국민회 강원 춘천,1948.05.31 ~ 1949.12.21
3058965I,崔凡述,최범술,제헌,100001,제헌 무소속 경남 사천,1948.05.31 ~ 1950.05.30
LMH5323M,崔奉植,최봉식,제헌,100001,제헌 무소속 경남 울산갑,1948.05.31 ~ 1950.05.30
9FB9768K,崔錫洪,최석홍,제헌,100001,제헌 대동청년당 경북 영주,1948.05.31 ~ 1950.05.30
ZRS60408,崔錫和,최석화,제헌,100001,제헌 무소속 경기 평택,1948.05.31 ~ 1950.05.30
UE734287,崔雲敎,최운교,제헌,100001,제헌 무소속 충남 논산을,1948.05.31 ~ 1950.05.30
Q303455S,崔允東,최윤동,제헌,100001,제헌 한국민주당 경북 대구갑,1948.05.31 ~ 1950.05.30
0RV56457,崔昌燮,최창섭,제헌,100001,제헌 무소속 경남 합천을,1949.03.30 ~ 1950.05.30
CNN8306C,崔泰奎,최태규,제헌,100001,제헌 무소속 강원 정선,1948.05.31 ~ 1950.02.10
LF11072P,崔獻吉,최헌길,제헌,100001,제헌 대한독립촉성국민회 강원 강릉을,1948.05.31 ~ 1950.05.30
2I01723P,表鉉台,표현태,제헌,100001,제헌 대한독립촉성국민회 경남 거창,1948.05.31 ~ 1950.05.30
J0V85648,韓錫範,한석범,제헌,100001,제헌 한국민주당 경남 부산병,1948.05.31 ~ 1950.05.30
SM59065J,韓巖回,한암회,제헌,100001,제헌 대한독립촉성국민회 경북 상주갑,1948.05.31 ~ 1950.05.30
TR27951X,許永鎬,허영호,제헌,100001,제헌 무소속 경남 부산갑,1949.01.13 ~ 1950.05.30
YKE68574,許政,허정,제헌,100001,제헌 한국민주당 경남 부산을,1948.05.31 ~ 1950.05.30
MZO9983Y,洪吉善,홍길선,제헌,100001,제헌 대동청년당 경기 수원갑,1948.05.31 ~ 1950.05.30
XT83880A,洪範熹,홍범희,제헌,100001,제헌 무소속 강원 원주,1948.05.31 ~ 1950.05.30
MIS43208,洪性夏,홍성하,제헌,100001,제헌 한국민주당 서울 동대문구갑,1949.10.30 ~ 1950.05.30
U2K40692,洪淳寧,홍순영,제헌,100001,제헌 대한독립촉성국민회 제주 북제주갑,1949.05.10 ~ 1949.12.22
PAP3998U,洪淳玉,홍순옥,제헌,100001,제헌 무소속 경남 창원갑,1948.05.31 ~ 1950.05.30
3AA37867,洪翼杓,홍익표,제헌,100001,제헌 무소속 경기 가평,1948.05.31 ~ 1950.05.30
FWG2650O,洪熺鍾,홍희종,제헌,100001,제헌 조선민족청년단 전북 김제을,1948.05.31 ~ 1950.05.30
2ZT7284L,黃斗淵,황두연,제헌,100001,제헌 대한독립촉성농민총연맹 전남 순천갑,1948.05.31 ~ 1950.05.30
HHZ7403J,黃炳珪,황병규,제헌,100001,제헌 무소속 전남 여수을,1948.05.31 ~ 1950.05.30
MHG8587E,黃潤鎬,황윤호,제헌,100001,제헌 무소속 경남 진양,1948.05.31 ~ 1950.05.30
4IR7382A,黃虎鉉,황호현,제헌,100001,제헌 대한독립촉성국민회 강원 평창,1948.05.31 ~ 1950.05.30
85N15546,康慶玉,강경옥,제2대,100002,제2대 무소속 제주 남제주군,1950.05.31 ~ 1954.05.30
IQD1365G,姜昌瑢,강창용,제2대,100002,제2대 무소속 제주 북제주을,1950.05.31 ~ 1954.05.30
1KR3234U,高永完,고영완,제2대,100002,제2대 민주국민당 전남 장흥군,1950.05.31 ~ 1954.05.30
7GP9235Q,郭尙勳,곽상훈,제2대,100002,제2대 무소속 경기 인천시을,1950.05.31 ~ 1954.05.30
V8A6249O,郭義榮,곽의영,제2대,100002,제2대 무소속 충북 청원군을,1950.05.31 ~ 1954.05.30
AT193722,郭泰珍,곽태진,제2대,100002,제2대 민주국민당 경북 고령군,1950.05.31 ~ 1954.05.30
SHE5364I,丘德煥,구덕환,제2대,100002,제2대 대한독립촉성국민회 충남 서천,1950.05.31 ~ 1954.05.30
4JB9065G,具乙會,구을회,제2대,100002,제2대 무소속 충남 당진,1950.05.31 ~ 1954.05.30
KB12672B,權炳魯,권병노,제2대,100002,제2대 일민국락부 경북 의성을,1950.05.31 ~ 1954.05.30
O5M9949M,權五勳,권오훈,제2대,100002,제2대 무소속 경북 달성,1950.05.31 ~ 1951.02.02
L7X5327D,權仲敦,권중돈,제2대,100002,제2대 무소속 경북 영천군갑,1950.05.31 ~ 1954.05.30
TQQ62610,權泰郁,권태욱,제2대,100002,제2대 무소속 경남 마산,1950.05.31 ~ 1954.05.30
KIL1823P,金庚培,김경배,제2대,100002,제2대 대한국민당 황해도 연백갑,1950.05.31 ~ 1954.05.30
8M43642N,金光俊,김광준,제2대,100002,제2대 무소속 경북 울진,1950.05.31 ~ 1954.05.30
LZG5439R,金洛五,김낙오,제2대,100002,제2대 대한독립촉성국민회 전남 보성,1950.05.31 ~ 1954.05.30
A8U38638,金東成,김동성,제2대,100002,제2대 무소속 경기 개성,1950.05.31 ~ 1954.05.30
NX51740P,金明東,김명동,제2대,100002,제2대 대한국민당 충남 공주을,1950.05.31 ~ 1951.01.09
ZP91492N,金命洙,김명수,제2대,100002,제2대 민주국민당 경남 합천을,1950.05.31 ~ 1954.05.30
J7J3200K,金汶鏞,김문용,제2대,100002,제2대 자유당 전남 담양,1951.02.05 ~ 1954.05.30
E6S8254Q,金凡父,김범부,제2대,100002,제2대 무소속 경남 동래,1950.05.31 ~ 1954.05.30
VZ71419D,金秉鎭,김병진,제2대,100002,제2대 대한청년단 경남 창원갑,1950.05.31 ~ 1954.05.30
XLZ6990T,金奉才,김봉재,제2대,100002,제2대 무소속 경남 창원을,1950.05.31 ~ 1954.05.30
Z988261X,金鳳祚,김봉조,제2대,100002,제2대 무소속 경북 청송,1950.05.31 ~ 1954.05.30
LEY4181T,金相賢,김상현,제2대,100002,제2대 무소속 전북 무주,1950.05.31 ~ 1954.05.30
V4C76140,金秀學,김수학,제2대,100002,제2대 무소속 전북 고창갑,1950.05.31 ~ 1954.05.30
8C43597G,金始顯,김시현,제2대,100002,제2대 민주국민당 경북 안동갑,1950.05.31 ~ 1954.01.30
N3A93759,金良洙,김양수,제2대,100002,제2대 민주국민당 전남 순천,1950.05.31 ~ 1954.05.30
H3L2284Y,金永善,김영선,제2대,100002,제2대 무소속 충남 보령군,1950.05.31 ~ 1954.05.30
