MONA_CD,HJ_NM,HG_NM,PROFILE_UNIT_NM,PROFILE_UNIT_CD,PROFILE_SJ,FRTO_DATE
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 산업통상자원중소벤처기업위원회,2020.06.15 ~ 2020.07.06
P2N50879,姜旼姃,강민정,제21대,100021.0,제21대 교육위원회,2022.07.22 ~ 
P2N50879,姜旼姃,강민정,제21대,100021.0,제21대 국회운영위원회,2022.07.22 ~ 
P2N50879,姜旼姃,강민정,제21대,100021.0,제21대 중앙선거관리위원회위원(남래진)선출에관한인사청문특별위원회,2022.07.12 ~ 2022.08.02
P2N50879,姜旼姃,강민정,제21대,100021.0,제21대 예산결산특별위원회,2021.07.02 ~ 2022.05.29
P2N50879,姜旼姃,강민정,제21대,100021.0,제21대 국회운영위원회,2021.01.20 ~ 2022.05.29
P2N50879,姜旼姃,강민정,제21대,100021.0,제21대 교육위원회,2020.06.15 ~ 2022.05.29
60490713,姜炳遠,강병원,제21대,100021.0,제21대 정무위원회,2022.07.22 ~ 
60490713,姜炳遠,강병원,제21대,100021.0,제21대 국무총리후보자(한덕수)에 관한 인사청문특별위원회,2022.04.11 ~ 2022.05.20
60490713,姜炳遠,강병원,제21대,100021.0,제21대 보건복지위원회,2022.03.28 ~ 2022.05.29
60490713,姜炳遠,강병원,제21대,100021.0,제21대 국방위원회,2022.03.21 ~ 2022.03.28
60490713,姜炳遠,강병원,제21대,100021.0,제21대 보건복지위원회,2020.06.15 ~ 2022.03.21
60490713,姜炳遠,강병원,제20대,100020.0,제20대 국회운영위원회,2019.03.28 ~ 2019.06.19
60490713,姜炳遠,강병원,제20대,100020.0,제20대 국회운영위원회,2019.01.22 ~ 2019.03.20
60490713,姜炳遠,강병원,제20대,100020.0,제20대 국회운영위원회,2018.12.27 ~ 2018.12.31
60490713,姜炳遠,강병원,제20대,100020.0,제20대 기획재정위원회,2018.07.18 ~ 2020.05.29
60490713,姜炳遠,강병원,제20대,100020.0,제20대 산업통상자원중소벤처기업위원회,2018.07.16 ~ 2018.07.18
60490713,姜炳遠,강병원,제20대,100020.0,제20대 국회운영위원회,2018.05.17 ~ 2018.05.29
60490713,姜炳遠,강병원,제20대,100020.0,제20대 미세먼지 대책 특별위원회,2017.12.06 ~ 2018.12.07
60490713,姜炳遠,강병원,제20대,100020.0,제20대 헌법재판소장(이진성) 임명동의에 관한 인사청문특별위원회,2017.11.09 ~ 2017.11.22
60490713,姜炳遠,강병원,제20대,100020.0,제20대 예산결산특별위원회,2017.05.30 ~ 2018.05.29
60490713,姜炳遠,강병원,제20대,100020.0,제20대 정치발전 특별위원회,2016.07.13 ~ 2017.06.30
60490713,姜炳遠,강병원,제20대,100020.0,제20대 환경노동위원회,2016.06.13 ~ 2018.05.29
60490713,姜炳遠,강병원,제20대,100020.0,제20대 국회운영위원회,2016.06.13 ~ 2017.05.29
MNZ4401T,姜仙祐,강선우,제21대,100021.0,제21대 여성가족위원회,2022.07.22 ~ 2022.07.26
MNZ4401T,姜仙祐,강선우,제21대,100021.0,제21대 보건복지위원회,2022.07.22 ~ 
MNZ4401T,姜仙祐,강선우,제21대,100021.0,제21대 여성가족위원회,2021.08.17 ~ 2022.05.29
MNZ4401T,姜仙祐,강선우,제21대,100021.0,제21대 예산결산특별위원회,2021.07.02 ~ 2022.05.29
MNZ4401T,姜仙祐,강선우,제21대,100021.0,제21대 국무총리(김부겸) 임명동의에 관한 인사청문특별위원회,2021.04.23 ~ 2021.05.13
MNZ4401T,姜仙祐,강선우,제21대,100021.0,제21대 보건복지위원회,2020.06.15 ~ 2022.05.29
MNZ4401T,姜仙祐,강선우,제21대,100021.0,제21대 국회운영위원회,2020.06.15 ~ 2020.09.24
WMG57662,姜恩美,강은미,제21대,100021.0,제21대 연금개혁특별위원회,2022.08.02 ~ 
WMG57662,姜恩美,강은미,제21대,100021.0,제21대 보건복지위원회,2022.07.22 ~ 
WMG57662,姜恩美,강은미,제21대,100021.0,제21대 국무총리후보자(한덕수)에 관한 인사청문특별위원회,2022.04.11 ~ 2022.04.11
WMG57662,姜恩美,강은미,제21대,100021.0,제21대 예산결산특별위원회,2021.07.02 ~ 2022.05.29
WMG57662,姜恩美,강은미,제21대,100021.0,제21대 국회운영위원회,2020.09.11 ~ 2021.05.04
WMG57662,姜恩美,강은미,제21대,100021.0,제21대 환경노동위원회,2020.06.15 ~ 2022.05.29
WMG57662,姜恩美,강은미,제21대,100021.0,제21대 국회상임위원회 위원 정수에 관한 규칙 개정 특별위원회,2020.06.09 ~ 2020.06.10
5KV96424,康準鉉,강준현,제21대,100021.0,제21대 기획재정위원회,2022.07.22 ~ 
5KV96424,康準鉉,강준현,제21대,100021.0,제21대 예산결산특별위원회,2021.07.02 ~ 2022.05.29
5KV96424,康準鉉,강준현,제21대,100021.0,제21대 국회운영위원회,2021.04.29 ~ 2022.04.04
5KV96424,康準鉉,강준현,제21대,100021.0,제21대 국토교통위원회,2020.06.15 ~ 2022.05.29
TRE2429O,姜勳植,강훈식,제21대,100021.0,제21대 보건복지위원회,2022.07.22 ~ 
TRE2429O,姜勳植,강훈식,제21대,100021.0,제21대 산업통상자원중소벤처기업위원회,2020.06.15 ~ 2022.05.29
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 예산결산특별위원회,2019.08.21 ~ 2020.05.29
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 국회운영위원회,2018.11.05 ~ 2018.11.07
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 4차 산업혁명 특별위원회,2018.10.18 ~ 2019.06.30
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 헌법재판소 재판관 선출에 관한 인사청문특별위원회,2018.09.06 ~ 2018.10.17
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 국토교통위원회,2018.07.16 ~ 2020.05.29
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 미세먼지 대책 특별위원회,2017.12.06 ~ 2018.12.07
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 국회운영위원회,2017.05.29 ~ 2018.05.17
TRE2429O,姜勳植,강훈식,제20대,100020.0,제20대 국토교통위원회,2016.06.13 ~ 2018.05.29
WCD5518S,高旼廷,고민정,제21대,100021.0,제21대 과학기술정보방송통신위원회,2022.08.17 ~ 
WCD5518S,高旼廷,고민정,제21대,100021.0,제21대 외교통일위원회,2022.08.01 ~ 2022.08.17
