국회의원코드,구분,의원이름(한자),구분코드,의원이름(한글),경력대수,경력대수코드,위원회 경력,활동기간
C1J76609,위원회 경력,姜己文,P13,강기문,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
C1J76609,위원회 경력,姜己文,P13,강기문,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
KAM9491G,위원회 경력,姜善明,P13,강선명,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
KAM9491G,위원회 경력,姜善明,P13,강선명,제헌,100001,제헌 재정경제위원회,1949.01.13 ~ 1949.12.19
RJD64678,위원회 경력,姜旭中,P13,강욱중,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제헌,100001,제헌 교통체신위원회,1948.12.21 ~ 1949.12.19
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
G7Z2566A,위원회 경력,金景道,P13,김경도,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
G7Z2566A,위원회 경력,金景道,P13,김경도,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
G7Z2566A,위원회 경력,金景道,P13,김경도,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
KIL1823P,위원회 경력,金庚培,P13,김경배,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
4886853P,위원회 경력,金敎中,P13,김교중,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
02E7012K,위원회 경력,金度演,P13,김도연,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1948.08.17
NX51740P,위원회 경력,金明東,P13,김명동,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
NX51740P,위원회 경력,金明東,P13,김명동,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
OE47479L,위원회 경력,金汶枰,P13,김문평,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
OE47479L,위원회 경력,金汶枰,P13,김문평,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
OE47479L,위원회 경력,金汶枰,P13,김문평,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
1II4388O,위원회 경력,金秉會,P13,김병회,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
09N5003T,위원회 경력,金奉斗,P13,김봉두,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
IAQ9588L,위원회 경력,金尙德,P13,김상덕,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
B5N4494M,위원회 경력,金相敦,P13,김상돈,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
B5N4494M,위원회 경력,金相敦,P13,김상돈,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
B5N4494M,위원회 경력,金相敦,P13,김상돈,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
GV84780I,위원회 경력,金壽善,P13,김수선,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
GV84780I,위원회 경력,金壽善,P13,김수선,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
4RH83902,위원회 경력,金若水,P13,김약수,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 
RVV6209L,위원회 경력,金英基,P13,김영기,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
RVV6209L,위원회 경력,金英基,P13,김영기,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
NKE36520,위원회 경력,金永東,P13,김영동,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
NKE36520,위원회 경력,金永東,P13,김영동,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
VM08397T,위원회 경력,金沃周,P13,김옥주,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
IKI92758,위원회 경력,金用在,P13,김용재,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
IKI92758,위원회 경력,金用在,P13,김용재,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
O3Q35065,위원회 경력,金用鉉,P13,김용현,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
O3Q35065,위원회 경력,金用鉉,P13,김용현,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
O3Q35065,위원회 경력,金用鉉,P13,김용현,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
XEK2350H,위원회 경력,金禹植,P13,김우식,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
XEK2350H,위원회 경력,金禹植,P13,김우식,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
D831681G,위원회 경력,金雄權,P13,김웅권,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
4MX48617,위원회 경력,金雄鎭,P13,김웅진,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
4MX48617,위원회 경력,金雄鎭,P13,김웅진,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 
Q0G1675P,위원회 경력,金翼基,P13,김익기,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
ALP55797,위원회 경력,金益魯,P13,김익노,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
X898412T,위원회 경력,金載學,P13,김재학,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
MBS7653Q,위원회 경력,金鍾文,P13,김종문,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
MBS7653Q,위원회 경력,金鍾文,P13,김종문,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
A2O2132V,위원회 경력,金鍾善,P13,김종선,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
B7963485,위원회 경력,金俊淵,P13,김준연,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
94P92684,위원회 경력,金철洙,P13,김철수,제헌,100001,제헌 교통체신위원회,1948.12.21 ~ 1949.12.19
27P1869Q,위원회 경력,金孝錫,P13,김효석,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
27P1869Q,위원회 경력,金孝錫,P13,김효석,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
27P1869Q,위원회 경력,金孝錫,P13,김효석,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
8UK6500D,위원회 경력,南宮炫,P13,남궁현,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
8UK6500D,위원회 경력,南宮炫,P13,남궁현,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
UC77337T,위원회 경력,朴己云,P13,박기운,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
UC77337T,위원회 경력,朴己云,P13,박기운,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
UC77337T,위원회 경력,朴己云,P13,박기운,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
FB325823,위원회 경력,朴愚京,P13,박우경,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
F5J8557E,위원회 경력,朴允源,P13,박윤원,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
P818288Z,위원회 경력,朴峻,P13,박준,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
MTR5392Y,위원회 경력,朴海克,P13,박해극,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
MTR5392Y,위원회 경력,朴海克,P13,박해극,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
TPN6918O,위원회 경력,裵重赫,P13,배중혁,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.02.10
TPN6918O,위원회 경력,裵重赫,P13,배중혁,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
PW120859,위원회 경력,白寬洙,P13,백관수,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
PW120859,위원회 경력,白寬洙,P13,백관수,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
68D7710B,위원회 경력,白南埰,P13,백남채,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
68D7710B,위원회 경력,白南埰,P13,백남채,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
RDA3916Z,위원회 경력,徐成達,P13,서성달,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
RDA3916Z,위원회 경력,徐成達,P13,서성달,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
SGS8180L,위원회 경력,徐淳永,P13,서순영,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
SGS8180L,위원회 경력,徐淳永,P13,서순영,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
L4F6267A,위원회 경력,徐容吉,P13,서용길,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
D0A1777A,위원회 경력,徐禹錫,P13,서우석,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
D0A1777A,위원회 경력,徐禹錫,P13,서우석,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
W8O5974N,위원회 경력,徐二煥,P13,서이환,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
W8O5974N,위원회 경력,徐二煥,P13,서이환,제헌,100001,제헌 법제사법위원회,1948.12.21 ~ 1949.12.19
J5W7663N,위원회 경력,成樂緖,P13,성낙서,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
IC95386J,위원회 경력,宋鳳海,P13,송봉해,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
IC95386J,위원회 경력,宋鳳海,P13,송봉해,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
M6B2431M,위원회 경력,宋昌植,P13,송창식,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
M6B2431M,위원회 경력,宋昌植,P13,송창식,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
M457535F,위원회 경력,宋必滿,P13,송필만,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
M457535F,위원회 경력,宋必滿,P13,송필만,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
MT48752N,위원회 경력,申光均,P13,신광균,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
MT48752N,위원회 경력,申光均,P13,신광균,제헌,100001,제헌 교통체신위원회,1948.12.21 ~ 1949.12.19
MT48752N,위원회 경력,申光均,P13,신광균,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
8F74681A,위원회 경력,申鉉模,P13,신현모,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
8F74681A,위원회 경력,申鉉模,P13,신현모,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
CHU7723J,위원회 경력,梁秉直,P13,양병직,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
L6C9595I,위원회 경력,吳基烈,P13,오기열,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
L6C9595I,위원회 경력,吳基烈,P13,오기열,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
IM97349U,위원회 경력,吳錫柱,P13,오석주,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
B841723D,위원회 경력,吳龍國,P13,오용국,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
B841723D,위원회 경력,吳龍國,P13,오용국,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
5JZ33241,위원회 경력,吳澤寬,P13,오택관,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
5JZ33241,위원회 경력,吳澤寬,P13,오택관,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
K374753S,위원회 경력,吳宅烈,P13,오택열,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
K374753S,위원회 경력,吳宅烈,P13,오택열,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
J2M9791M,위원회 경력,元容漢,P13,원용한,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
7Q415979,위원회 경력,元長吉,P13,원장길,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
7Q415979,위원회 경력,元長吉,P13,원장길,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
7KU80352,위원회 경력,柳聖甲,P13,유성갑,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
7KU80352,위원회 경력,柳聖甲,P13,유성갑,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
L9J2509Z,위원회 경력,柳俊相,P13,유준상,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
D1X9690Y,위원회 경력,柳鴻烈,P13,유홍열,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
EW13604F,위원회 경력,尹錫龜,P13,윤석구,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 
LU08466W,위원회 경력,二龜洙,P13,이귀수,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
L1K2418O,위원회 경력,李南圭,P13,이남규,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
6683015R,위원회 경력,李錫,P13,이석,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
6683015R,위원회 경력,李錫,P13,이석,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
81X3635Z,위원회 경력,李聖得,P13,이성득,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
81X3635Z,위원회 경력,李聖得,P13,이성득,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
OLX9518I,위원회 경력,李成佑,P13,이성우,제헌,100001,제헌 교통체신위원회,1948.12.21 ~ 1949.12.19
O673574F,위원회 경력,李要漢,P13,이요한,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
O673574F,위원회 경력,李要漢,P13,이요한,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
6O61738R,위원회 경력,李原弘,P13,이원홍,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
6O61738R,위원회 경력,李原弘,P13,이원홍,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
6O61738R,위원회 경력,李原弘,P13,이원홍,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
DQ470249,위원회 경력,李允榮,P13,이윤영,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
BRN6185C,위원회 경력,李宜相,P13,이의상,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
BRN6185C,위원회 경력,李宜相,P13,이의상,제헌,100001,제헌 교통체신위원회,1948.12.21 ~ 1949.12.19
M0587960,위원회 경력,李仁,P13,이인,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
M0587960,위원회 경력,李仁,P13,이인,제헌,100001,제헌 법제사법위원회,1949.03.30 ~ 1949.12.19
QCI6988T,위원회 경력,李載灐,P13,이재형,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
QCI6988T,위원회 경력,李載灐,P13,이재형,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
OZ45622W,위원회 경력,李정器,P13,이정기,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
OZ45622W,위원회 경력,李정器,P13,이정기,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
1C853454,위원회 경력,李晶來,P13,이정래,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
1C853454,위원회 경력,李晶來,P13,이정래,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
T4Z35182,위원회 경력,李鍾麟,P13,이종린,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
59M1715Y,위원회 경력,李鍾淳,P13,이종순,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
KHG2024B,위원회 경력,李浩錫,P13,이호석,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
KHG2024B,위원회 경력,李浩錫,P13,이호석,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
L263650M,위원회 경력,林奭奎,P13,임석규,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
9W07513N,위원회 경력,鄭光好,P13,정광호,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
9W07513N,위원회 경력,鄭光好,P13,정광호,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
Z8W9187M,위원회 경력,鄭求參,P13,정구삼,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
Z8W9187M,위원회 경력,鄭求參,P13,정구삼,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
UPE7464B,위원회 경력,鄭島榮,P13,정도영,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
UPE7464B,위원회 경력,鄭島榮,P13,정도영,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
9G19731F,위원회 경력,鄭濬,P13,정준,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
9G19731F,위원회 경력,鄭濬,P13,정준,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
PFD3040H,위원회 경력,鄭海駿,P13,정해준,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
PFD3040H,위원회 경력,鄭海駿,P13,정해준,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
PFD3040H,위원회 경력,鄭海駿,P13,정해준,제헌,100001,제헌 재정경제위원회,1948.08.23 ~ 1948.12.19
PFD3040H,위원회 경력,鄭海駿,P13,정해준,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
MMU4834V,위원회 경력,鄭顯模,P13,정현모,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
KXV7183C,위원회 경력,趙玉鉉,P13,조옥현,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
A0J46751,위원회 경력,趙鍾勝,P13,조종승,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
A0J46751,위원회 경력,趙鍾勝,P13,조종승,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
7T511853,위원회 경력,趙重顯,P13,조중현,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
7T511853,위원회 경력,趙重顯,P13,조중현,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 
3I17114K,위원회 경력,趙漢栢,P13,조한백,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
3I17114K,위원회 경력,趙漢栢,P13,조한백,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
RUW9318Z,위원회 경력,晋直鉉,P13,진직현,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
RUW9318Z,위원회 경력,晋直鉉,P13,진직현,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.21
RUW9318Z,위원회 경력,晋直鉉,P13,진직현,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
VA69591N,위원회 경력,陳憲植,P13,진헌식,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
VA69591N,위원회 경력,陳憲植,P13,진헌식,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
MMB6113P,위원회 경력,車庚模,P13,차경모,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
MMB6113P,위원회 경력,車庚模,P13,차경모,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
WVK51145,위원회 경력,崔國鉉,P13,최국현,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
UE734287,위원회 경력,崔雲敎,P13,최운교,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
UE734287,위원회 경력,崔雲敎,P13,최운교,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
LF11072P,위원회 경력,崔獻吉,P13,최헌길,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
LF11072P,위원회 경력,崔獻吉,P13,최헌길,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
SM59065J,위원회 경력,韓巖回,P13,한암회,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
SM59065J,위원회 경력,韓巖回,P13,한암회,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
TR27951X,위원회 경력,許永鎬,P13,허영호,제헌,100001,제헌 법제사법위원회,1949.01.13 ~ 1949.12.19
XT83880A,위원회 경력,洪範熹,P13,홍범희,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
XT83880A,위원회 경력,洪範熹,P13,홍범희,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
MIS43208,위원회 경력,洪性夏,P13,홍성하,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
3AA37867,위원회 경력,洪翼杓,P13,홍익표,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
3AA37867,위원회 경력,洪翼杓,P13,홍익표,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
MHG8587E,위원회 경력,黃潤鎬,P13,황윤호,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
4IR7382A,위원회 경력,黃虎鉉,P13,황호현,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
4IR7382A,위원회 경력,黃虎鉉,P13,황호현,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
85N15546,위원회 경력,康慶玉,P13,강경옥,제2대,100002,제2대 상공위원회,1953.12.29 ~ 1954.05.30
85N15546,위원회 경력,康慶玉,P13,강경옥,제2대,100002,제2대 상공위원회,1953.01.29 ~ 1953.12.19
85N15546,위원회 경력,康慶玉,P13,강경옥,제2대,100002,제2대 법제사법위원회,1952.01.24 ~ 1952.12.19
85N15546,위원회 경력,康慶玉,P13,강경옥,제2대,100002,제2대 법제사법위원회,1951.03.09 ~ 1951.12.19
IQD1365G,위원회 경력,姜昌瑢,P13,강창용,제2대,100002,제2대 교통체신위원회,1953.12.29 ~ 1954.05.30
IQD1365G,위원회 경력,姜昌瑢,P13,강창용,제2대,100002,제2대 교통체신위원회,1953.01.29 ~ 1953.12.19
IQD1365G,위원회 경력,姜昌瑢,P13,강창용,제2대,100002,제2대 재정경제위원회,1952.01.24 ~ 1952.12.19
IQD1365G,위원회 경력,姜昌瑢,P13,강창용,제2대,100002,제2대 재정경제위원회,1951.03.09 ~ 1951.12.19
1KR3234U,위원회 경력,高永完,P13,고영완,제2대,100002,제2대 국방위원회,1953.01.29 ~ 1953.12.19
1KR3234U,위원회 경력,高永完,P13,고영완,제2대,100002,제2대 법제사법위원회,1952.01.24 ~ 1952.12.19
1KR3234U,위원회 경력,高永完,P13,고영완,제2대,100002,제2대 법제사법위원회,1951.03.09 ~ 1951.12.19
7GP9235Q,위원회 경력,郭尙勳,P13,곽상훈,제2대,100002,제2대 국방위원회,1953.12.19 ~ 1954.05.30
7GP9235Q,위원회 경력,郭尙勳,P13,곽상훈,제2대,100002,제2대 국방위원회,1953.01.29 ~ 1953.12.19
7GP9235Q,위원회 경력,郭尙勳,P13,곽상훈,제2대,100002,제2대 국방위원회,1952.01.24 ~ 1952.12.19
V8A6249O,위원회 경력,郭義榮,P13,곽의영,제2대,100002,제2대 재정경제위원회,1953.12.29 ~ 1954.05.30
V8A6249O,위원회 경력,郭義榮,P13,곽의영,제2대,100002,제2대 재정경제위원회,1953.01.29 ~ 1953.12.19
V8A6249O,위원회 경력,郭義榮,P13,곽의영,제2대,100002,제2대 재정경제위원회,1952.01.24 ~ 1952.12.19
V8A6249O,위원회 경력,郭義榮,P13,곽의영,제2대,100002,제2대 재정경제위원회,1951.03.09 ~ 1951.12.19
AT193722,위원회 경력,郭泰珍,P13,곽태진,제2대,100002,제2대 내무위원회,1953.12.29 ~ 1954.05.30
AT193722,위원회 경력,郭泰珍,P13,곽태진,제2대,100002,제2대 내무위원회,1953.01.29 ~ 1953.12.19
4JB9065G,위원회 경력,具乙會,P13,구을회,제2대,100002,제2대 상공위원회,1953.12.29 ~ 1954.05.30
4JB9065G,위원회 경력,具乙會,P13,구을회,제2대,100002,제2대 상공위원회,1953.02.06 ~ 1953.12.19
4JB9065G,위원회 경력,具乙會,P13,구을회,제2대,100002,제2대 외무위원회,1953.01.29 ~ 1953.02.06
4JB9065G,위원회 경력,具乙會,P13,구을회,제2대,100002,제2대 농림위원회,1952.01.24 ~ 1952.12.19
4JB9065G,위원회 경력,具乙會,P13,구을회,제2대,100002,제2대 농림위원회,1951.03.09 ~ 1951.12.19
KB12672B,위원회 경력,權炳魯,P13,권병노,제2대,100002,제2대 국회운영위원회,1953.12.29 ~ 1954.05.30
KB12672B,위원회 경력,權炳魯,P13,권병노,제2대,100002,제2대 내무위원회,1953.01.29 ~ 1953.12.19
KB12672B,위원회 경력,權炳魯,P13,권병노,제2대,100002,제2대 외무위원회,1952.01.24 ~ 1952.12.19
KB12672B,위원회 경력,權炳魯,P13,권병노,제2대,100002,제2대 국회운영위원회,1951.03.09 ~ 1951.12.19
O5M9949M,위원회 경력,權五勳,P13,권오훈,제2대,100002,제2대 교통체신위원회,1950.07.28 ~ 1951.02.02
L7X5327D,위원회 경력,權仲敦,P13,권중돈,제2대,100002,제2대 상공위원회,1953.12.29 ~ 1954.05.30
L7X5327D,위원회 경력,權仲敦,P13,권중돈,제2대,100002,제2대 상공위원회,1953.01.29 ~ 1953.12.19
L7X5327D,위원회 경력,權仲敦,P13,권중돈,제2대,100002,제2대 상공위원회,1952.01.24 ~ 1952.12.19
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제2대,100002,제2대 재정경제위원회,1953.12.29 ~ 1954.05.30
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제2대,100002,제2대 재정경제위원회,1953.01.29 ~ 1953.12.19
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제2대,100002,제2대 재정경제위원회,1952.01.24 ~ 1952.12.19
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제2대,100002,제2대 재정경제위원회,1951.03.09 ~ 1951.12.19
8M43642N,위원회 경력,金光俊,P13,김광준,제2대,100002,제2대 내무위원회,1953.12.29 ~ 1954.05.30
8M43642N,위원회 경력,金光俊,P13,김광준,제2대,100002,제2대 내무위원회,1953.01.29 ~ 1953.12.19
8M43642N,위원회 경력,金光俊,P13,김광준,제2대,100002,제2대 내무위원회,1952.01.24 ~ 1952.12.19
8M43642N,위원회 경력,金光俊,P13,김광준,제2대,100002,제2대 내무위원회,1951.03.09 ~ 1951.12.19
LZG5439R,위원회 경력,金洛五,P13,김낙오,제2대,100002,제2대 법제사법위원회,1952.01.24 ~ 1952.12.19
